name,VIN,make,model,year,price,miles,Exterior Color,Interior Color,Seller Name,Seller Phone,Transmission,Drivetrain,id
2015 BMW X4 xDrive28i SUV,5UXXW3C52F0M89157,BMW,X4,2015.0,35989.0,29048.0,Glacier Silver Metallic,BLACK,Concours BMW,888-258-1784 888-258-6303,Automatic,All Wheel Drive,511
2018 BMW X4 M40i Sports Activity Coupe,5UXXW7C58J0W64527,BMW,X4,2018.0,65555.0,2915.0,Melbourne Red Metallic,IVORY,Concours BMW,888-258-1784 888-258-6303,,4-Wheel Drive,512
Pre-Owned 2013 BMW 335i i,WBA3A9C58DF477040,BMW,3 Series,2013.0,19995.0,85338.0,Blue,,David Hobbs Honda,414-352-6100,Manual,Rear Wheel Drive,513
Pre-Owned 2013 BMW 320i xDrive AWD,WBA3C3C58DF978825,BMW,3 Series,2013.0,18995.0,63328.0,Red,,David Hobbs Honda,414-352-6100,Automatic,All Wheel Drive,514
Used 2012 BMW 550i xDrive Sedan,WBAFU9C55CC788140,BMW,5 Series,2012.0,15989.0,100069.0,Black Sapphire Metallic,Black W/nappa Leather Upholstery,Andrew Chevrolet,(414) 228-6200,Automatic,All Wheel Drive,515
Used 2006 BMW 525xi Sedan,WBANF335X6CS35149,BMW,5 Series,2006.0,7893.0,87520.0,,Black,Infiniti INTERNATIONAL INFINITI NORTH SHORE,(877) 549-8748,Manual,All Wheel Drive,516
Used 2010 BMW X3 xDrive30i AWD 4dr SUV,WBXPC9C42AWJ36558,BMW,X3,2010.0,9892.0,126896.0,,Black,Infiniti INTERNATIONAL INFINITI NORTH SHORE,(877) 549-8748,Manual,All Wheel Drive,517
Used 2011 BMW 335i xDrive Sedan,WBAPL5C55BA917990,BMW,3 Series,2011.0,15993.0,50138.0,,Black,Infiniti INTERNATIONAL INFINITI NORTH SHORE,(877) 549-8748,Manual,All Wheel Drive,518
Used 2015 BMW X1 xDrive28i AWD 4dr SAV,WBAVL1C56FVY27245,BMW,X1,2015.0,19493.0,37245.0,,Black,Infiniti INTERNATIONAL INFINITI NORTH SHORE,(877) 549-8748,Automatic,All Wheel Drive,519
Certified Pre-Owned 2018 BMW 3 Series 320i xDrive Stock:LJA357730,WBA8A3C59JA357730,BMW,3 Series,2018.0,39435.0,4850.0,White,Black,Volkswagen of Milwaukee North,888-336-6441,,All Wheel Drive,520
Certified Pre-Owned 2018 BMW X1 xDrive28i Stock:LJ5F88674,WBXHT3C34J5F88674,BMW,X1,2018.0,41394.0,4532.0,Gray,Black,Volkswagen of Milwaukee North,888-336-6441,,All Wheel Drive,521
Pre-Owned 2017 BMW X1 xDrive28i Stock:LH4A56277,WBXHT3Z39H4A56277,BMW,X1,2017.0,43795.0,2005.0,Black,mocha,Volkswagen of Milwaukee North,(888) 336-6441,Automatic,All Wheel Drive,522
Certified Pre-Owned 2015 BMW i3 with Range Extender Stock:AFV500411,WBY1Z4C56FV500411,BMW,i3,2015.0,24887.0,11405.0,Laurel Gray Metallic w/BMW i Frozen Blue Accent,Giga Cassia/Carum Spice Gray,Volkswagen of Milwaukee North,888-336-6441,Direct Drive,Rear Wheel Drive,523
Pre-Owned 2011 BMW 3 Series 335d Stock:JM252390A,WBAPN7C51BA780343,BMW,3 Series,2011.0,12942.0,88840.0,,,Volkswagen of Milwaukee North,(888) 336-6441,Automatic,Rear Wheel Drive,524
2017 BMW X5 xDrive35i SAV,5UXKR0C31H0V80227,BMW,X5,2017.0,54444.0,11035.0,Dark Graphite,CANBERRA BEIGE,BMW of Milwaukee North,877-591-3075,Automatic,All Wheel Drive,525
2007 BMW 3 Series 328xi Sedan,WBAVC93587KX57040,BMW,3 Series,2007.0,6942.0,140765.0,Space Gray Metallic,BLACK,Umansky Motor Cars,877-650-2166,Manual,All Wheel Drive,526
2016 BMW X6 xDrive35i Sports Activity Coupe,5UXKU2C5XG0N83119,BMW,X6,2016.0,43998.0,54553.0,Gray,,Umansky Motor Cars,877-650-2166,Automatic,All Wheel Drive,527
2016 BMW X6,5UXKU2C54G0N84086,BMW,X6,2016.0,54000.0,756.0,Glacier Silver Metallic,BLACK,Lexus of Milwaukee,(414) 386-1368,Automatic,All Wheel Drive,528
2013 BMW 5 Series,WBAFU9C51DDY70684,BMW,5 Series,2013.0,25000.0,61056.0,Alpine White,BLACK,Lexus of Milwaukee,(414) 386-1368,Automatic,All Wheel Drive,529
2014 BMW X3 xDrive28i Xdrive28i SAV,5UXWX9C57E0D16019,BMW,X3,2014.0,20997.0,69196.0,Mineral Silver Metallic,TAN,Diamond Jim's Motorcars,888-261-9579,Automatic,All Wheel Drive,530
2007 BMW X3 3.0si SAV,WBXPC93427WF10596,BMW,X3,2007.0,8997.0,111999.0,Titanium Silver Metallic,TAN,Diamond Jim's Motorcars,888-261-9579,Manual,All Wheel Drive,531
2007 BMW 328xi 328xi Sedan,WBAVC93547K034639,BMW,3 Series,2007.0,7495.0,157372.0,Black,BROWN,Diamond Jim's Motorcars,888-261-9579,Manual,All Wheel Drive,532
2008 BMW 535xi 535xi Sedan,WBANV93538CZ64411,BMW,5 Series,2008.0,8777.0,134922.0,Platinum Gray Metallic,BLACK,Diamond Jim's Motorcars,888-261-9579,Manual,All Wheel Drive,533
2004 BMW X5 4.4i SUV,5UXFB53554LV03048,BMW,X5,2004.0,4997.0,190230.0,Black,,Diamond Jim's Motorcars,888-261-9579,Automatic,All Wheel Drive,534
2011 BMW 328i xDrive Sedan,WBAPK7C5XBA972787,BMW,3 Series,2011.0,13997.0,55525.0,Titanium Silver Metallic,BLACK,Diamond Jim's Motorcars,888-261-9579,Manual,All Wheel Drive,535
1995 BMW 5 Series -Spd 540iA,WBAHE6325SGF32343,BMW,5 Series,1995.0,4990.0,85598.0,Black,Leather,Frontier Motor Cars Inc,414-282-7100,Automatic,Rear Wheel Drive,536
2009 BMW 3 Series,WBAWC33579PU84714,BMW,3 Series,2009.0,9999.0,,Jet Black,Black,Don Jacobs Toyota Scion,414-263-9350,Manual,All Wheel Drive,537
2015 BMW X3 Xdrive28d,5UXWY3C52F0E97493,BMW,X3,2015.0,32800.0,47265.0,Black Sapphire Metallic,BLACK,Griffin's Hub Chrysler Jeep Dodge Ram,888-578-4453,Automatic,All Wheel Drive,538
2014 BMW X1 Xdrive28i,WBAVL1C54EVY11902,BMW,X1,2014.0,18995.0,55091.0,Black Sapphire Metallic,BLACK,Griffin's Hub Chrysler Jeep Dodge Ram,888-578-4453,Automatic,All Wheel Drive,539
2011 BMW X3 28i SUV,5UXWX5C52BL701715,BMW,X3,2011.0,14684.0,85210.0,Gray,Black w/Nevada Leather Upholstery,Van Horn Latino,(855) 416-3161,Automatic,All Wheel Drive,540
2006 BMW 750,WBAHN83506DT27300,BMW,7 Series,2006.0,,,Silver,,El Jalisciense,414-384-0834,Automatic,Rear Wheel Drive,541
2008 BMW X3 3.0si SUV,WBXPC93458WJ03385,BMW,X3,2008.0,10990.0,86251.0,Black,BLACK,Gary Lang Auto Group,877-289-1712 866-415-5651,Manual,All Wheel Drive,542
2015 BMW X4 Xdrive35i SUV,5UXXW5C57F0E88987,BMW,X4,2015.0,31990.0,45801.0,Alpine White,SADDLE BROWN,Gary Lang Auto Group,877-289-1712 866-415-5651,Automatic,All Wheel Drive,543
2009 BMW X5 30i AWD,5UXFE43509L266106,BMW,X5,2009.0,13690.0,79668.0,Gray,,Buss Ford Lincoln,888-660-4137 888-813-5078,Automatic,All Wheel Drive,544
2013 BMW X5 xDrive35i AWD,5UXZV4C52D0B12149,BMW,X5,2013.0,14990.0,134734.0,Silver,,Buss Ford Lincoln,888-660-4137 888-813-5078,Automatic,All Wheel Drive,545
2013 BMW X5 XDRIVE35I,5UXZV4C57D0E04914,BMW,X5,2013.0,24995.0,67849.0,BLACK,BLACK,Auto Villa Custom Trucks,888-441-5743,Automatic,All Wheel Drive,546
2013 BMW 328XI TURBO AWD,WBA3B3C51DF541459,BMW,3 Series,2013.0,17995.0,61405.0,BLACK,BLACK,Auto Villa Custom Trucks,888-441-5743,Automatic,All Wheel Drive,547
2009 BMW 535XI TWIN TURBO,WBANV93519C131756,BMW,5 Series,2009.0,10995.0,97361.0,BLUE,TAN,Auto Villa Custom Trucks,888-441-5743,Manual,All Wheel Drive,548
2012 BMW X5 xDrive35i,5UXZV4C50CL764262,BMW,X5,2012.0,18677.0,71568.0,Silver,Select,Next Auto Sales,,Automatic,All Wheel Drive,549
Used 2002 BMW Z3 Z3 2dr Roadster 2.5i,4USCN33492LM07034,BMW,Z3,2002.0,6500.0,141228.0,Black,Black,Rich's Car Corner,563-556-4161,Manual,Rear Wheel Drive,550
Used 2006 BMW X5 X5 4dr AWD 3.0i,5UXFA13556LY37725,BMW,X5,2006.0,9000.0,89352.0,Green,Gray,Rich's Car Corner,563-556-4161,Manual,All Wheel Drive,551
Used 2006 BMW 3 Series 330i 4dr Sdn RWD,WBAVB33516KR72158,BMW,3 Series,2006.0,8000.0,96976.0,Gray,Black,Rich's Car Corner,563-556-4161,Manual,Rear Wheel Drive,552
2011 BMW 3 Series 335d Sedan,WBAPN7C52BA781162,BMW,3 Series,2011.0,,89555.0,Black,Beige,Autosource Motors Inc.,888-784-8893,Automatic,Rear Wheel Drive,553
2006 BMW Z4 Roadster 3.0si Convertible,4USBU53576LX00939,BMW,Z4,2006.0,,60340.0,Titanium Silver Metallic,Black,Autosource Motors Inc.,888-784-8893,Manual,Rear Wheel Drive,554
2004 BMW Z4 Roadster 2.5i Convertible,4USBT33514LS52248,BMW,Z4,2004.0,9999.0,61114.0,Jet Black,Beige,Autosource Motors Inc.,888-784-8893,Manual,Rear Wheel Drive,555
2008 BMW Z4 Premium Convertible,4USBU33588LW74813,BMW,Z4,2008.0,9995.0,98724.0,Black Sapphire Metallic,Dream Red,Autosource Motors Inc.,888-784-8893,Manual,Rear Wheel Drive,556
2015 BMW X1 xDrive28i SAV,WBAVL1C52FVY35388,BMW,X1,2015.0,18995.0,44472.0,Mineral Gray Metallic,Black,Autosource Motors Inc.,888-784-8893,Automatic,All Wheel Drive,557
2015 BMW X1 sDrive28i SAV,WBAVM1C57FVZ94209,BMW,X1,2015.0,17995.0,30786.0,Cashmere Silver Metallic,Black,Autosource Motors Inc.,888-784-8893,Automatic,Rear Wheel Drive,558
2011 BMW 5 Series 535i xDrive Sedan,WBAFU7C58BC876084,BMW,5 Series,2011.0,15995.0,74775.0,Jet Black,Veneto Beige,Autosource Motors Inc.,888-784-8893,Automatic,All Wheel Drive,559
2011 BMW 5 Series 550i xDrive Sedan,WBAFU9C57BC785061,BMW,5 Series,2011.0,19995.0,53623.0,Dark Graphite Metallic,Black,Autosource Motors Inc.,888-784-8893,Automatic,All Wheel Drive,560
2017 BMW 3 Series 330i xDrive Sedan,WBA8D9G59HNU60878,BMW,3 Series,2017.0,28995.0,18077.0,Jet Black,Venetian Beige/Black,Autosource Motors Inc.,888-784-8893,,,561
2011 BMW 5 Series 535i Sedan,WBAFR7C57BC607317,BMW,5 Series,2011.0,13995.0,98807.0,Dark Graphite Metallic,Black,Autosource Motors Inc.,888-784-8893,Manual,Rear Wheel Drive,562
2012 BMW 5 Series 528i xDrive Sedan,WBAXH5C56CDW09034,BMW,5 Series,2012.0,16995.0,74763.0,Dark Graphite Metallic II,Venetian Beige,Autosource Motors Inc.,888-784-8893,Automatic,All Wheel Drive,563
2012 BMW 5 Series 528i xDrive Sedan,WBAXH5C58CDW08354,BMW,5 Series,2012.0,15998.0,75067.0,Blue Water Metallic,Venetian Beige,Autosource Motors Inc.,888-784-8893,Automatic,All Wheel Drive,564
2012 BMW 5 Series 528i xDrive Sedan,WBAXH5C56CDW02035,BMW,5 Series,2012.0,15995.0,76643.0,Imperial Blue Metallic,Veneto Beige,Autosource Motors Inc.,888-784-8893,Automatic,All Wheel Drive,565
2013 BMW 5 Series 535i xDrive Sedan,WBAFU7C56DDU67255,BMW,5 Series,2013.0,18995.0,69170.0,Dark Graphite Metallic II,Black,Autosource Motors Inc.,888-784-8893,Automatic,All Wheel Drive,566
2011 BMW 3 Series 328i xDrive Coupe,WBAKF5C56BE395820,BMW,3 Series,2011.0,12995.0,85445.0,Jet Black,Oyster/Black,Autosource Motors Inc.,888-784-8893,Manual,All Wheel Drive,567
2007 BMW 3 Series 328xi Sedan,WBAVC93567K033203,BMW,3 Series,2007.0,7399.0,113477.0,Jet Black,Black,Autosource Motors Inc.,888-784-8893,Manual,All Wheel Drive,568
2013 BMW 3 Series 328i xDrive Sedan,WBA3B3C53DF541933,BMW,3 Series,2013.0,14999.0,64355.0,Sparkling Bronze Metallic,Veneto Beige,Autosource Motors Inc.,888-784-8893,Automatic,All Wheel Drive,569
2014 BMW 3 Series 320i xDrive Sedan,WBA3C3C57EF983239,BMW,3 Series,2014.0,17999.0,24295.0,Jet Black,Black,Autosource Motors Inc.,888-784-8893,Automatic,All Wheel Drive,570
Used 2011 BMW 535i xDrive Sedan,WBAFU7C5XBC781901,BMW,5 Series,2011.0,27995.0,41435.0,Blue,,Alan Browne Chevrolet,888-658-2340 888-329-6383,Automatic,All Wheel Drive,571
2016 BMW X3 xDrive28i SAV,5UXWX9C54G0D63138,BMW,X3,2016.0,29998.0,37627.0,White,UNSPECIFIED,Bergstrom Scion,920-966-1616,Automatic,All Wheel Drive,572
2005 BMW 325Ci Convertible,WBABW33445PL38780,BMW,3 Series,2005.0,6995.0,103531.0,Jet Black,,Anderson-Weber Toyota,888-631-3882,Manual,Rear Wheel Drive,573
Pre-Owned 2015 BMW X1 xDrive28i AWD,WBAVL1C55FVY36499,BMW,X1,2015.0,15955.0,58436.0,Mineral Gray Metallic,Black,Garber Fox Lake Toyota,(847) 497-9094,Automatic,All Wheel Drive,574
Used 2015 BMW 3 Series 328i xDrive,WBA3B3G51FNR86268,BMW,3 Series,2015.0,25500.0,23245.0,Alpine White,,MAZDA OF CRYSTAL LAKE,,Automatic,All Wheel Drive,575
Used 2017 BMW X3 xDrive28i,5UXWX9C53H0T01664,BMW,X3,2017.0,37000.0,14448.0,Space Gray Metallic,,MAZDA OF CRYSTAL LAKE,,Automatic,All Wheel Drive,576
Used 2015 BMW 4 Series 435i xDrive,WBA3R5C55FK371205,BMW,4 Series,2015.0,36500.0,30744.0,Black Sapphire Metallic,Coral Red/Black,MAZDA OF CRYSTAL LAKE,,Automatic,All Wheel Drive,577
Used 2016 BMW X3 xDrive28i,5UXWX9C59G0D67766,BMW,X3,2016.0,34750.0,19304.0,Sparkling_Brown,,MAZDA OF CRYSTAL LAKE,,Automatic,All Wheel Drive,578
Used 2015 BMW 3 Series 328d xDrive,WBA3K5C55FK300879,BMW,3 Series,2015.0,34500.0,24399.0,Black,,MAZDA OF CRYSTAL LAKE,,Automatic,All Wheel Drive,579
Used 2015 BMW X5 xDrive35i,5UXKR0C55F0K62416,BMW,X5,2015.0,33750.0,72286.0,Black Sapphire Metallic,Black,MAZDA OF CRYSTAL LAKE,,Automatic,All Wheel Drive,580
Used 2015 BMW 5 Series 535i xDrive,WBA5B3C56FD544610,BMW,5 Series,2015.0,33750.0,37944.0,Black,,MAZDA OF CRYSTAL LAKE,,Automatic,All Wheel Drive,581
Used 2015 BMW 5 Series 535i xDrive,WBA5B3C53FD545262,BMW,5 Series,2015.0,31000.0,54791.0,Black,,MAZDA OF CRYSTAL LAKE,,Automatic,All Wheel Drive,582
Used 2015 BMW 4 Series 435i xDrive,WBA4B3C52FD670197,BMW,4 Series Gran Coupe,2015.0,30750.0,36235.0,Imperial Blue Metallic,Saddle Brown/Excl. Stitch,MAZDA OF CRYSTAL LAKE,,Automatic,All Wheel Drive,583
Used 2015 BMW X3 xDrive28i,5UXWX9C52F0D51231,BMW,X3,2015.0,29000.0,36584.0,Black Sapphire Metallic,Oyster,MAZDA OF CRYSTAL LAKE,,Automatic,All Wheel Drive,584
Used 2015 BMW X1 xDrive28i,WBAVL1C59FVY27370,BMW,X1,2015.0,23250.0,42875.0,Black,,MAZDA OF CRYSTAL LAKE,,Automatic,All Wheel Drive,585
Used 2004 BMW X5 3.0i,5UXFA13584LU20807,BMW,X5,2004.0,,168971.0,Silver,,MAZDA OF CRYSTAL LAKE,,Manual,All Wheel Drive,586
Used 2002 BMW 3 Series 325i,WBAET37402NG70838,BMW,3 Series,2002.0,3990.0,152393.0,Not Given,,MAZDA OF CRYSTAL LAKE,,Manual,Rear Wheel Drive,587
Used 2015 BMW 5 Series 528i xDrive,WBA5A7C57FD623245,BMW,5 Series,2015.0,26000.0,43335.0,Glacier Silver Metallic,Black,MAZDA OF CRYSTAL LAKE,,Automatic,All Wheel Drive,588
Used 2015 BMW 5 Series 528i xDrive,WBA5A7C57FD623259,BMW,5 Series,2015.0,,22697.0,Gray,,MAZDA OF CRYSTAL LAKE,,Automatic,All Wheel Drive,589
Used 2017 BMW X5 xDrive35i,5UXKR0C58H0V65483,BMW,X5,2017.0,65990.0,4456.0,Black Sapphire Metallic,,MAZDA OF CRYSTAL LAKE,,Automatic,All Wheel Drive,590
Used 2008 BMW 5 Series 550i,WBANW53568CT48532,BMW,5 Series,2008.0,16500.0,88074.0,Carbon Black Metallic,Black,MAZDA OF CRYSTAL LAKE,,Manual,Rear Wheel Drive,591
Used 2015 BMW 3 Series 328i xDrive,WBA3B3C52FF546303,BMW,3 Series,2015.0,21250.0,71710.0,Mojave,,MAZDA OF CRYSTAL LAKE,,Automatic,All Wheel Drive,592
Used 2015 BMW M4,WBS3R9C58FK330375,BMW,M4,2015.0,47750.0,40099.0,Black_Sapphire,,MAZDA OF CRYSTAL LAKE,,Manual,Rear Wheel Drive,593
Used 2015 BMW M4,WBS3R9C53FK331711,BMW,M4,2015.0,47750.0,40003.0,White,,MAZDA OF CRYSTAL LAKE,,Manual,Rear Wheel Drive,594
Used 2015 BMW 4 Series 435i xDrive,WBA3R5C54FK189365,BMW,4 Series,2015.0,41250.0,18811.0,Blue,,MAZDA OF CRYSTAL LAKE,,Automatic,All Wheel Drive,595
Used 2015 BMW X5 xDrive35i,5UXKR0C58F0K64970,BMW,X5,2015.0,38500.0,39582.0,Black,,MAZDA OF CRYSTAL LAKE,,Automatic,All Wheel Drive,596
Used 2017 BMW X3 xDrive28i,5UXWX9C36H0T23334,BMW,X3,2017.0,38000.0,15397.0,Alpine White,Black,MAZDA OF CRYSTAL LAKE,,Automatic,All Wheel Drive,597
Used 2015 BMW 4 Series 428i,WBA3V5C56FP753970,BMW,4 Series,2015.0,37750.0,27651.0,White,,MAZDA OF CRYSTAL LAKE,,Automatic,Rear Wheel Drive,598
Used 2014 BMW 6 Series 650i xDrive,WBA6B4C54ED099115,BMW,6 Series Gran Coupe,2014.0,37500.0,63671.0,Moonstone Metallic,Champagne,MAZDA OF CRYSTAL LAKE,,Automatic,All Wheel Drive,599
Used 2015 BMW X5 xDrive50i,5UXKR6C57F0J78603,BMW,X5,2015.0,37500.0,59582.0,Dark Graphite Metallic,Ivory White,MAZDA OF CRYSTAL LAKE,,Automatic,All Wheel Drive,600
2006 BMW 5-Series 530xi 6-Speed Automatic,WBANF73586CG67393,BMW,5 Series,2006.0,7999.0,123208.0,Blue,Tan,Gateway Motors,(414) 208-1777,Manual,All Wheel Drive,601
2015 BMW 4 Series 428i Xdrive,WBA4A7C57FD413899,BMW,4 Series Gran Coupe,2015.0,31491.0,22733.0,Black,,Ewald's Venus Ford,888-319-2170,Automatic,All Wheel Drive,602
2014 BMW 5 Series 528i Xdrive,WBA5A7C52ED616038,BMW,5 Series,2014.0,23997.0,48437.0,Black,,Ewald's Venus Ford,888-319-2170,Automatic,All Wheel Drive,603
Pre-Owned 2015 BMW 528i xDrive,WBA5A7C50FD622003,BMW,5 Series,2015.0,27851.0,40162.0,Silver,,Honda of Kenosha,888-345-6878 888-275-0930,Automatic,All Wheel Drive,604
2014 BMW X5 xDrive50i SAV,5UXKR6C56E0J73004,BMW,X5,2014.0,45682.0,34085.0,Mineral White Metallic,CANBERRA BEIGE,BMW of Dubuque,888-810-0623 877-500-2315,Automatic,All Wheel Drive,605
2015 BMW X5 xDrive35d SUV,5UXKS4C55F0N07114,BMW,X5,2015.0,43415.0,41911.0,Mineral Silver Metallic,CANBERRA BEIGE,BMW of Dubuque,888-810-0623 877-500-2315,Automatic,All Wheel Drive,606
2008 BMW X5 3.0si SAV,5UXFE43518L009762,BMW,X5,2008.0,10471.0,130282.0,Platinum Bronze,SAND BEIGE,BMW of Dubuque,888-810-0623 877-500-2315,Automatic,All Wheel Drive,607
2004 BMW X5 3.0i SUV,5UXFA13594LU35591,BMW,X5,2004.0,7791.0,96999.0,Sterling Gray Metallic,BLACK,BMW of Dubuque,888-810-0623 877-500-2315,Manual,All Wheel Drive,608
2013 BMW X3 xDrive28i Xdrive28i SAV,5UXWX9C53D0A14452,BMW,X3,2013.0,17854.0,82541.0,Space Gray,OYSTER,BMW of Dubuque,888-810-0623 877-500-2315,Automatic,All Wheel Drive,609
2015 BMW X3 xDrive28i SAV,5UXWX9C59F0D59875,BMW,X3,2015.0,30706.0,35672.0,Mineral Silver Metallic,BEIGE,BMW of Dubuque,888-810-0623 877-500-2315,Automatic,All Wheel Drive,610
2016 BMW X3 xDrive28i SAV,5UXWX9C54G0D71949,BMW,X3,2016.0,34910.0,25058.0,Mineral Silver Metallic,SAND BEIGE,BMW of Dubuque,888-810-0623 877-500-2315,Automatic,All Wheel Drive,611
2008 BMW 528xi 528xi Sedan,WBANV13518CZ58740,BMW,5 Series,2008.0,9500.0,115902.0,Silver,GRAY,BMW of Dubuque,888-810-0623 877-500-2315,Manual,All Wheel Drive,612
2015 BMW 528i xDrive Sedan,WBA5A7C56FD624113,BMW,5 Series,2015.0,26856.0,49964.0,Alpine White,BLACK,BMW of Dubuque,888-810-0623 877-500-2315,Automatic,All Wheel Drive,613
2018 BMW 430i xDrive Convertible,WBA4Z3C58JEA31694,BMW,4 Series,2018.0,43987.0,11464.0,Mineral Gray,BLACK,BMW of Dubuque,888-810-0623 877-500-2315,,,614
2009 BMW 328i xDrive Sedan,WBAPK73529A454103,BMW,3 Series,2009.0,9500.0,136357.0,Jet Black,BLACK,BMW of Dubuque,888-810-0623 877-500-2315,Manual,All Wheel Drive,615
2015 BMW 328i xDrive Sedan,WBA3B3C57FJ984747,BMW,3 Series,2015.0,24193.0,40259.0,Black Sapphire Metallic,BLACK,BMW of Dubuque,888-810-0623 877-500-2315,Automatic,All Wheel Drive,616
2015 BMW 228i xDrive Coupe,WBA1F7C5XFVX95571,BMW,2 Series,2015.0,24831.0,58798.0,Jet Black,BLACK,BMW of Dubuque,888-810-0623 877-500-2315,Automatic,All Wheel Drive,617
"2015 BMW X1 xDrive28i SUV - Heated Leather, Bluetooth",WBAVL1C53FVY30460,BMW,X1,2015.0,24873.0,24460.0,Alpine White,,Richardson Motors,(888) 480-1482,Automatic,All Wheel Drive,618
Pre-Owned 2009 BMW X3 xDrive30i AWD,WBXPC93459WJ25727,BMW,X3,2009.0,9329.0,94537.0,Black,Sand Beige,Pauly Toyota/Scion,877-654-8261 888-221-2806,Manual,All Wheel Drive,619
2009 BMW 328i xDrive Sedan,WBAPK73529A453596,BMW,3 Series,2009.0,,80368.0,,,Fenzel Motor Sales Inc,847-683-2424,Manual,All Wheel Drive,620
2011 BMW X3 xDrive28i Xdrive28i SAV,5UXWX5C53BL701576,BMW,X3,2011.0,9896.0,122835.0,Blue,BEIGE,Gregory Hyundai,888-612-9983 888-612-9986,Automatic,All Wheel Drive,621
2014 BMW 535d xDrive 535d Xdrive Sedan,WBAFV3C58ED685740,BMW,5 Series,2014.0,26789.0,43932.0,Dark Graphite,AMARO BROWN,Gregory Hyundai,888-612-9983 888-612-9986,Automatic,All Wheel Drive,622
2018 BMW X5 xDrive35i SAV,5UXKR0C55J0X97996,BMW,X5,2018.0,61250.0,4069.0,Black,,Zeigler Nissan Gurnee,847-265-1122,,4-Wheel Drive,623
2018 BMW X5 xDrive35i SAV,5UXKR0C51J0X86848,BMW,X5,2018.0,58648.0,7932.0,Dark Graphite,BLACK,Zeigler Nissan Gurnee,847-265-1122,,4-Wheel Drive,624
2015 BMW 328i xDrive Gran Turismo xDrive Gran Turismo,WBA3X5C5XFD561057,BMW,3 Series Gran Turismo,2015.0,24901.0,46863.0,Alpine White,,Zeigler Nissan Gurnee,847-265-1122,Automatic,All Wheel Drive,625
2015 BMW 335i xDrive Sedan,WBA3B9C53FF589440,BMW,3 Series,2015.0,35296.0,34383.0,Alpine White,BLACK,Zeigler Nissan Gurnee,847-265-1122,Automatic,All Wheel Drive,626
2018 BMW X5 xDrive35i SAV,5UXKR0C50J0X86338,BMW,X5,2018.0,55035.0,7040.0,Silver,BLACK,Zeigler Nissan Gurnee,847-265-1122,,4-Wheel Drive,627
2018 BMW 750i xDrive Sedan,WBA7F2C53JG424794,BMW,7 Series,2018.0,87993.0,8336.0,Mineral White Metallic,ZAGORA BEIGE,Zeigler Nissan Gurnee,847-265-1122,,,628
2018 BMW 430i Convertible,WBA4Z1C56JEA31441,BMW,4 Series,2018.0,,20732.0,,,Zeigler Nissan Gurnee,847-265-1122,,,629
2015 BMW 535i xDrive Sedan,WBA5B3C57FD542154,BMW,5 Series,2015.0,27860.0,58570.0,Champagne Quartz,,Zeigler Nissan Gurnee,847-265-1122,Automatic,All Wheel Drive,630
2015 BMW 328i xDrive Sedan,WBA3B3G56FNR89358,BMW,3 Series,2015.0,17950.0,58884.0,Blue,,Zeigler Nissan Gurnee,847-265-1122,Automatic,All Wheel Drive,631
2009 BMW 328i xDrive Coupe Coupe,WBAWC33599P470023,BMW,3 Series,2009.0,14900.0,55441.0,Black Sapphire Metallic,,Zeigler Nissan Gurnee,847-265-1122,Manual,All Wheel Drive,632
2015 BMW 328i xDrive Gran Turismo xDrive Gran Turismo,WBA3X5C53FD561109,BMW,3 Series Gran Turismo,2015.0,25997.0,46203.0,Alpine White,,Zeigler Nissan Gurnee,847-265-1122,Automatic,All Wheel Drive,633
2013 BMW X3 xDrive35i SAV,5UXWX7C53DL977884,BMW,X3,2013.0,21500.0,57154.0,Titanium Silver Metallic,BLACK,Zeigler Nissan Gurnee,847-265-1122,Automatic,All Wheel Drive,634
2015 BMW X5 xDrive35i SUV,5UXKR0C52F0K69307,BMW,X5,2015.0,34966.0,52561.0,White,,Zeigler Nissan Gurnee,847-265-1122,Automatic,All Wheel Drive,635
2017 BMW 330i xDrive Sedan,WBA8D9G30HNU64512,BMW,3 Series,2017.0,38991.0,7010.0,Silver,BLACK,Zeigler Nissan Gurnee,847-265-1122,Automatic,All Wheel Drive,636
2015 BMW 435i xDrive Gran Coupe,WBA4B3C54FD670329,BMW,4 Series Gran Coupe,2015.0,36866.0,27218.0,Black Sapphire Metallic,BLACK,Zeigler Nissan Gurnee,847-265-1122,Automatic,All Wheel Drive,637
2011 BMW 535i xDrive Sedan,WBAFU7C51BC876136,BMW,5 Series,2011.0,19993.0,42128.0,Space Gray Metallic,VENETIAN BEIGE,Zeigler Nissan Gurnee,847-265-1122,Automatic,All Wheel Drive,638
2015 BMW 535i xDrive Sedan,WBA5B3C5XFD540429,BMW,5 Series,2015.0,30863.0,57894.0,Alpine White,BLACK,Zeigler Nissan Gurnee,847-265-1122,Automatic,All Wheel Drive,639
2015 BMW 328i 328i Sedan,WBA3A5G52FNP35242,BMW,3 Series,2015.0,18983.0,29624.0,Glacier Silver Metallic,VENETIAN BEIGE EXCLUSIVE STITCHING,Zeigler Nissan Gurnee,847-265-1122,Automatic,Rear Wheel Drive,640
2004 BMW 325i Sedan,WBAEV33434KR26245,BMW,3 Series,2004.0,4997.0,64889.0,Electric Red,SAND,Zeigler Nissan Gurnee,847-265-1122,Manual,Rear Wheel Drive,641
