name,year,maker,color,price,seller_name,seller_phone,seller_average_rating,seller_review_count,miles,distance_from_madison,exterior_color,interior_color,transmission,drivetrain,vin,id
2018 Mercedes-Benz  E 300,2018,Mercedes-Benz,Gray,65300.0,Mercedes-Benz of Milwaukee North,(888) 224-9092,4.8,203.0,0.0,74,Selenite Grey Metallic,Black,9-SPEED A/T,All Wheel Drive,WDDZF4KB0JA344330,262
2014 Mercedes-Benz  C 300,2014,Mercedes-Benz,Gray,20978.0,Mercedes-Benz of Milwaukee North,(888) 821-6594,4.8,203.0,34425.0,74,Steel Gray Metallic,,7-SPEED A/T,All Wheel Drive,WDDGF8AB7EA892668,263
2015 Mercedes-Benz  CLS 63 AMG S-Model,2015,Mercedes-Benz,White,62940.0,Mercedes-Benz of Milwaukee North,(888) 821-6594,4.8,203.0,52391.0,74,Designo Diamond White Metallic,Black,7-SPEED A/T,All Wheel Drive,WDDLJ7GB6FA133638,264
2015 Mercedes-Benz  CLS 550,2015,Mercedes-Benz,Silver,45986.0,Mercedes-Benz of Milwaukee North,(888) 821-6594,4.8,203.0,45759.0,74,Iridium Silver Metallic,Black,7-SPEED A/T,All Wheel Drive,WDDLJ9BB5FA154340,265
2015 Mercedes-Benz  CLA 45 AMG,2015,Mercedes-Benz,Black,38455.0,Mercedes-Benz of Milwaukee North,(888) 821-6594,4.8,203.0,36189.0,74,Night Black,Black,7-SPEED A/T,All Wheel Drive,WDDSJ5CBXFN232123,266
2018 Mercedes-Benz GLC 300 Base 4Matic,2018,Mercedes-Benz,Black,49995.0,Mercedes-Benz of Milwaukee North,(888) 224-9092,4.8,203.0,0.0,74,Black,Black,9-SPEED A/T,All Wheel Drive,WDC0G4KB6JV074507,267
2018 Mercedes-Benz  E 300,2018,Mercedes-Benz,Gray,68200.0,Mercedes-Benz of Milwaukee North,(888) 224-9092,4.8,203.0,0.0,74,Selenite Grey Metallic,Black,9-SPEED A/T,All Wheel Drive,WDDZF4KB1JA392841,268
2018 Mercedes-Benz  C 300,2018,Mercedes-Benz,Black,52590.0,Mercedes-Benz of Milwaukee North,(888) 224-9092,4.8,203.0,0.0,74,Black,Black,9-SPEED A/T,All Wheel Drive,WDDWJ4KB6JF671903,269
2014 Mercedes-Benz  E 350,2014,Mercedes-Benz,Black,24730.0,Mercedes-Benz of Milwaukee North,(888) 821-6594,4.8,203.0,49975.0,74,Black,Black,7-SPEED A/T,All Wheel Drive,WDDHF8JB2EA900101,270
2017 Mercedes-Benz  E 400,2017,Mercedes-Benz,White,78085.0,Mercedes-Benz of Milwaukee North,(888) 224-9092,4.8,203.0,0.0,74,Polar White,beige,9-SPEED A/T,All Wheel Drive,WDDZH6GB0HA136683,271
2015 Mercedes-Benz  E 400,2015,Mercedes-Benz,White,41690.0,Mercedes-Benz of Milwaukee North,(888) 821-6594,4.8,203.0,18936.0,74,Designo Diamond White,Espresso Brown/Silk Beige,7-SPEED A/T,Rear Wheel Drive,WDDKK6FF4FF297271,272
2018 Mercedes-Benz GLC 300 Base 4Matic,2018,Mercedes-Benz,Blue,52055.0,Mercedes-Benz of Milwaukee North,(888) 224-9092,4.8,203.0,0.0,74,Lunar Blue Metallic,Black,9-SPEED A/T,All Wheel Drive,WDC0G4KB5JV051896,273
2018 Mercedes-Benz  C 300,2018,Mercedes-Benz,Black,46175.0,Mercedes-Benz of Milwaukee North,(888) 224-9092,4.8,203.0,0.0,74,Black,Black,9-SPEED A/T,All Wheel Drive,55SWF4KB1JU257409,274
2017 Mercedes-Benz  E 300,2017,Mercedes-Benz,Silver,54225.0,Mercedes-Benz of Milwaukee North,(888) 821-5863,4.8,203.0,7298.0,74,Iridium Silver Metallic,Black,9-SPEED A/T,All Wheel Drive,WDDZF4KB0HA035600,275
2018 Mercedes-Benz GLS 450 Base 4MATIC,2018,Mercedes-Benz,Gray,80450.0,Mercedes-Benz of Milwaukee North,(888) 224-9092,4.8,203.0,0.0,74,Selenite Grey Metallic,beige,9-SPEED A/T,All Wheel Drive,4JGDF6EE3JB018940,276
2018 Mercedes-Benz  C 300,2018,Mercedes-Benz,Red,47655.0,Mercedes-Benz of Milwaukee North,(888) 224-9092,4.8,203.0,0.0,74,Designo Cardinal Red Metallic,Black,9-SPEED A/T,All Wheel Drive,55SWF4KB7JU234863,277
2018 Mercedes-Benz  E 400,2018,Mercedes-Benz,Gray,74835.0,Mercedes-Benz of Milwaukee North,(888) 224-9092,4.8,203.0,0.0,74,Selenite Grey Metallic,Black,9-SPEED A/T,All Wheel Drive,WDD1J6GBXJF007702,278
2018 Mercedes-Benz GLE 350 Base 4MATIC,2018,Mercedes-Benz,Black,60590.0,Mercedes-Benz of Milwaukee North,(888) 224-9092,4.8,203.0,0.0,74,Black,beige,7-SPEED A/T,All Wheel Drive,4JGDA5HB2JB089637,279
2018 Mercedes-Benz  E 300,2018,Mercedes-Benz,Gray,62350.0,Mercedes-Benz of Milwaukee North,(888) 224-9092,4.8,203.0,0.0,74,Selenite Grey Metallic,Black,9-SPEED A/T,All Wheel Drive,WDDZF4KB9JA345878,280
2018 Mercedes-Benz GLC 300 Base 4Matic,2018,Mercedes-Benz,Black,50095.0,Mercedes-Benz of Milwaukee North,(888) 224-9092,4.8,203.0,0.0,74,Black,Black,9-SPEED A/T,All Wheel Drive,WDC0G4KBXJV050503,281
2017 Mercedes-Benz  E 300,2017,Mercedes-Benz,Black,62095.0,Mercedes-Benz of Milwaukee North,(888) 224-9092,4.8,203.0,0.0,74,Obsidian Black Metallic,Black,9-SPEED A/T,All Wheel Drive,WDDZF4KB1HA209822,282
2005 Mercedes-Benz  C230 Kompressor Sport,2005,Mercedes-Benz,Red,6777.0,Auto Outpost - North Inc.,(815) 572-6094,3.8,14.0,105315.0,74,Red,Black,5-Speed Automatic,RWD,WDBRF40J35F706226,283
2003 Mercedes-Benz  E320,2003,Mercedes-Benz,Gold,3950.0,Car Planet,(414) 292-9743,2.6,5.0,130000.0,74,Gold,Tan,5-Speed Automatic,RWD,WDBUF65J23A193799,284
2018 Mercedes-Benz  E 400,2018,Mercedes-Benz,Black,80315.0,Mercedes-Benz of Milwaukee North,(888) 224-9092,4.8,203.0,0.0,74,Obsidian Black Metallic,Black,9-SPEED A/T,All Wheel Drive,WDD1K6GB5JF046078,285
2018 Mercedes-Benz AMG GLE 43 Base 4MATIC,2018,Mercedes-Benz,Blue,78040.0,Mercedes-Benz of Milwaukee North,(888) 224-9092,4.8,203.0,0.0,74,Lunar Blue Metallic,Black,9-SPEED A/T,All Wheel Drive,4JGED6EB5JA100822,286
2018 Mercedes-Benz AMG C 63 Base,2018,Mercedes-Benz,Gray,78005.0,Mercedes-Benz of Milwaukee North,(888) 224-9092,4.8,203.0,0.0,74,Selenite Grey Metallic,Black,7-SPEED A/T,Rear Wheel Drive,55SWF8GB6JU255249,287
2018 Mercedes-Benz  C 300,2018,Mercedes-Benz,Gray,48695.0,Mercedes-Benz of Milwaukee North,(888) 224-9092,4.8,203.0,0.0,74,Selenite Grey Metallic,Black,9-SPEED A/T,All Wheel Drive,55SWF4KBXJU255822,288
2018 Mercedes-Benz  E 300,2018,Mercedes-Benz,Gray,65865.0,Mercedes-Benz of Milwaukee North,(888) 224-9092,4.8,203.0,0.0,74,Selenite Grey Metallic,beige,9-SPEED A/T,All Wheel Drive,WDDZF4KB1JA339525,289
2018 Mercedes-Benz  E 300,2018,Mercedes-Benz,White,70665.0,Mercedes-Benz of Milwaukee North,(888) 224-9092,4.8,203.0,0.0,74,Designo Diamond White,Black,9-SPEED A/T,All Wheel Drive,WDDZF4KB1JA308792,290
2018 Mercedes-Benz  E 400,2018,Mercedes-Benz,White,74145.0,Mercedes-Benz of Milwaukee North,(888) 224-9092,4.8,203.0,0.0,74,Polar White,beige,9-SPEED A/T,All Wheel Drive,WDD1J6GB9JF019243,291
2018 Mercedes-Benz GLC 300 Base 4Matic,2018,Mercedes-Benz,White,50145.0,Mercedes-Benz of Milwaukee North,(888) 224-9092,4.8,203.0,0.0,74,Polar White,beige,9-SPEED A/T,All Wheel Drive,WDC0G4KB5JV066737,292
2014 Mercedes-Benz  C 300,2014,Mercedes-Benz,White,20990.0,Car Castle,(262) 456-5159,4.9,45.0,41438.0,76,Polar White,Black,7-SPEED A/T,All Wheel Drive,WDDGF8ABXEG237319,293
2012 Mercedes-Benz  C 250,2012,Mercedes-Benz,Black,13588.0,"AutoSource Motors, Inc.",(414) 455-6995,4.9,162.0,60014.0,76,Black,Black,7-SPEED A/T,Rear Wheel Drive,WDDGF4HB9CA630839,294
2015 Mercedes-Benz  C 300,2015,Mercedes-Benz,Black,24990.0,Car Castle,(262) 456-5159,4.9,45.0,10942.0,76,Black,Black,7-SPEED A/T,Rear Wheel Drive,55SWF4JB9FU092329,295
2013 Mercedes-Benz  GLK 350,2013,Mercedes-Benz,White,18588.0,"AutoSource Motors, Inc.",(414) 455-6995,4.9,162.0,72291.0,76,Polar White,Black,7-SPEED A/T,All Wheel Drive,WDCGG8JB4DG098515,296
2011 Mercedes-Benz  C 300,2011,Mercedes-Benz,Other,12890.0,Gary Lang Automotive Group,(815) 308-2308,4.7,1250.0,83794.0,76,,,7-Speed Automatic,AWD,WDDGF8BBXBR148378,297
2007 Mercedes-Benz  3.0L,2007,Mercedes-Benz,Silver,13995.0,"AutoSource Motors, Inc.",(414) 455-6995,4.9,162.0,78033.0,76,Iridium Silver Metallic,Black,6-SPEED M/T,Rear Wheel Drive,WDBWK54F17F157235,298
2015 Mercedes-Benz  E 400,2015,Mercedes-Benz,Black,34730.0,VROOM (Milwaukee),(877) 682-3020,,,40687.0,73,Black,Black,Automatic,RWD,WDDKK6FF0FF297798,299
2009 Mercedes-Benz  S 550 4MATIC,2009,Mercedes-Benz,Black,25995.0,German Auto House,(608) 467-4941,5.0,1.0,40375.0,2,Black,Black,7-Speed Automatic,AWD,WDDNG86X49A258457,300
2014 Mercedes-Benz  ML 350,2014,Mercedes-Benz,Gray,28998.0,CarMax Madison,(608) 286-3923,4.3,3.0,37253.0,5,Gray,Black,7-Speed Automatic w/OD,AWD,4JGDA5HB3EA417238,301
2018 Mercedes-Benz  C 300 4MATIC,2018,Mercedes-Benz,Gray,46095.0,Napleton Autowerks Loves Park,(815) 916-4212,4.9,522.0,0.0,55,Gray,,9-Speed Automatic,AWD,55SWF4KB6JU256207,302
2018 Mercedes-Benz GLC 300 Base 4MATIC,2018,Mercedes-Benz,White,54645.0,Napleton Autowerks Loves Park,(815) 916-4212,4.9,522.0,0.0,55,White,,9-Speed Automatic,AWD,WDC0G4KB7JVC07326,303
2018 Mercedes-Benz CLA 250 Base 4MATIC,2018,Mercedes-Benz,Blue,41170.0,Mercedes-Benz of Elmbrook,(262) 510-0498,4.5,39.0,0.0,61,Lunar Blue Metallic,Shara Beige,7-Speed Automatic with Auto-Shift,AWD,WDDSJ4GB1JN602968,304
2007 Mercedes-Benz  6.0L V12 AMG,2007,Mercedes-Benz,Black,31900.0,Midwest Highline,(815) 516-8789,,,61250.0,61,Black,Black,5-SPEED A/T,Rear Wheel Drive,WDDNG79X37A083234,305
2018 Mercedes-Benz SL 550 Base,2018,Mercedes-Benz,Black,119895.0,Mercedes-Benz of Elmbrook,(262) 510-0498,4.5,39.0,0.0,61,Black,Black,9-Speed Automatic,RWD,WDDJK7DA6JF052456,306
2018 Mercedes-Benz AMG C 43 Base 4MATIC,2018,Mercedes-Benz,White,64830.0,Mercedes-Benz of Elmbrook,(262) 510-0498,4.5,39.0,0.0,61,Designo Diamond White Metallic,Black,9-Speed Automatic,AWD,55SWF6EB4JU257850,307
2018 Mercedes-Benz  E 400 4MATIC,2018,Mercedes-Benz,Silver,63997.0,Mercedes-Benz of Elmbrook,(262) 510-2426,4.5,39.0,3231.0,61,Iridium Silver Metallic,Black,9-Speed Automatic,AWD,WDD1J6GB1JF017499,308
2018 Mercedes-Benz  C 300 4MATIC,2018,Mercedes-Benz,Gray,47395.0,Mercedes-Benz of Elmbrook,(262) 510-0498,4.5,39.0,0.0,61,Selenite Gray Metallic,Black,9-Speed Automatic,AWD,WDDWF4KB3JR345590,309
2018 Mercedes-Benz GLC 300 Base 4MATIC,2018,Mercedes-Benz,Gray,44975.0,Mercedes-Benz of Elmbrook,(262) 510-2426,4.5,39.0,6673.0,61,Selenite Gray Metallic,Black,9-Speed Automatic,AWD,WDC0G4KB9JV033093,311
2018 Mercedes-Benz AMG C 43 Base 4MATIC,2018,Mercedes-Benz,Gray,68104.0,Mercedes-Benz of Elmbrook,(262) 510-0498,4.5,39.0,0.0,61,Selenite Gray Metallic,Black,9-Speed Automatic,AWD,55SWF6EB9JU245113,312
2010 Mercedes-Benz  S 550,2010,Mercedes-Benz,Gray,29900.0,Midwest Highline,(815) 516-8789,,,61435.0,61,Gray,Black,7-SPEED A/T,All Wheel Drive,WDDNG8GB2AA311132,313
2018 Mercedes-Benz  E 300,2018,Mercedes-Benz,White,55155.0,Mercedes-Benz of Elmbrook,(262) 510-2426,4.5,39.0,4472.0,61,Polar White,Macchiato,9-Speed Automatic,AWD,WDDZF4KB3JA299058,315
2003 Mercedes-Benz  2dr Roadster 5.0L,2003,Mercedes-Benz,Silver,16900.0,Midwest Highline,(815) 516-8789,,,54079.0,61,Silver,Black,5-SPEED A/T,Rear Wheel Drive,WDBSK75F43F048299,316
2018 Mercedes-Benz GLA 250 Base 4MATIC,2018,Mercedes-Benz,Black,40080.0,Mercedes-Benz of Elmbrook,(262) 510-0498,4.5,39.0,0.0,61,Black,Shara Beige,7-Speed Automatic with Auto-Shift,AWD,WDCTG4GB1JJ435543,319
2001 Mercedes-Benz  2dr Cabriolet 4.3L,2001,Mercedes-Benz,Black,5998.0,Alpha Motors,(262) 649-5754,4.8,4.0,97829.0,63,Black,Grey,5-SPEED A/T,Rear Wheel Drive,WDBLK70G51T077295,320
2014 Mercedes-Benz  E 350 4MATIC,2014,Mercedes-Benz,White,27745.0,Russ Darrow Nissan of West Bend,(888) 457-9504,4.8,55.0,40864.0,64,Polar White,Black,7-Speed Automatic,AWD,WDDHF8JB6EB004720,321
2014 Mercedes-Benz  E 350 4MATIC,2014,Mercedes-Benz,White,33995.0,Reina International,(262) 510-2733,4.0,6.0,22436.0,66,Polar White,Black,7-Speed Automatic,AWD,WDDHF8JBXEB028745,322
2011 Mercedes-Benz  GL 450 4MATIC,2011,Mercedes-Benz,Black,21995.0,Reina International,(262) 510-2733,4.0,6.0,97223.0,66,Black,Black,7-Speed Automatic,AWD,4JGBF7BE9BA749364,323
2000 Mercedes-Benz  S430,2000,Mercedes-Benz,Silver,5423.0,Russ Darrow Kia of Wauwatosa,(414) 269-8713,4.8,471.0,89016.0,68,Silver,Ash,5-Speed Automatic,RWD,WDBNG70J4YA109438,324
2018 Mercedes-Benz GLC 300 Base 4Matic,2018,Mercedes-Benz,Black,52495.0,Mercedes-Benz of Milwaukee North,(888) 224-9092,4.8,203.0,0.0,74,Black,Black,9-SPEED A/T,All Wheel Drive,WDC0G4KB4JV066602,325
2018 Mercedes-Benz GLC 300 Base 4Matic,2018,Mercedes-Benz,Black,50095.0,Mercedes-Benz of Milwaukee North,(888) 224-9092,4.8,203.0,0.0,74,Black,Black,9-SPEED A/T,All Wheel Drive,WDC0G4KB8JV060124,326
2018 Mercedes-Benz AMG C 63 Base,2018,Mercedes-Benz,White,86100.0,Mercedes-Benz of Milwaukee North,(888) 224-9092,4.8,203.0,0.0,74,Designo Diamond White Metallic,Black,7-SPEED A/T,Rear Wheel Drive,55SWF8HB4JU259718,327
2018 Mercedes-Benz  E 300,2018,Mercedes-Benz,White,66510.0,Mercedes-Benz of Milwaukee North,(888) 224-9092,4.8,203.0,0.0,74,Polar White,Black,9-SPEED A/T,All Wheel Drive,WDDZF4KB6JA425137,328
2018 Mercedes-Benz  C 300,2018,Mercedes-Benz,Gray,54120.0,Mercedes-Benz of Milwaukee North,(888) 224-9092,4.8,203.0,0.0,74,Selenite Grey Metallic,Black,9-SPEED A/T,All Wheel Drive,WDDWJ4KB8JF618376,329
2018 Mercedes-Benz GLC 300 Base 4Matic,2018,Mercedes-Benz,Gray,54105.0,Mercedes-Benz of Milwaukee North,(888) 224-9092,4.8,203.0,0.0,74,Selenite Grey Metallic,Black,9-SPEED A/T,All Wheel Drive,WDC0G4KB9JV038858,330
2018 Mercedes-Benz  C 300,2018,Mercedes-Benz,White,46375.0,Mercedes-Benz of Milwaukee North,(888) 224-9092,4.8,203.0,0.0,74,Polar White,Black,9-SPEED A/T,All Wheel Drive,55SWF4KB7JU237911,331
2018 Mercedes-Benz  E 300,2018,Mercedes-Benz,Black,68900.0,Mercedes-Benz of Milwaukee North,(888) 224-9092,4.8,203.0,0.0,74,Black,Black,9-SPEED A/T,All Wheel Drive,WDDZF4KB0JA300893,332
2018 Mercedes-Benz AMG C 63 Base,2018,Mercedes-Benz,Black,79395.0,Mercedes-Benz of Milwaukee North,(888) 224-9092,4.8,203.0,0.0,74,Obsidian Black Metallic,Black,7-SPEED A/T,Rear Wheel Drive,WDDWJ8GB9JF670812,333
2018 Mercedes-Benz GLE 350 Base 4MATIC,2018,Mercedes-Benz,White,63780.0,Mercedes-Benz of Milwaukee North,(888) 224-9092,4.8,203.0,0.0,74,Designo Diamond White Metallic,beige,7-SPEED A/T,All Wheel Drive,4JGDA5HB9JB104621,334
2018 Mercedes-Benz GLC 300 Base 4Matic,2018,Mercedes-Benz,Gray,54105.0,Mercedes-Benz of Milwaukee North,(888) 224-9092,4.8,203.0,0.0,74,Selenite Grey Metallic,Black,9-SPEED A/T,All Wheel Drive,WDC0G4KB4JV027248,335
2018 Mercedes-Benz GLC 300 Base 4Matic,2018,Mercedes-Benz,Gray,53215.0,Mercedes-Benz of Milwaukee North,(888) 224-9092,4.8,203.0,0.0,74,Selenite Grey Metallic,Black,9-SPEED A/T,All Wheel Drive,WDC0G4KB8JF401080,336
2018 Mercedes-Benz GLE 350 Base 4MATIC,2018,Mercedes-Benz,White,69980.0,Mercedes-Benz of Milwaukee North,(888) 224-9092,4.8,203.0,0.0,74,Designo Diamond White Metallic,Black,7-SPEED A/T,All Wheel Drive,4JGDA5HB3JB111029,337
2018 Mercedes-Benz GLC 300 Base 4Matic,2018,Mercedes-Benz,Silver,48315.0,Mercedes-Benz of Milwaukee North,(888) 224-9092,4.8,203.0,0.0,74,Iridium Silver Metallic,Black,9-SPEED A/T,All Wheel Drive,WDC0G4KB5JV074479,338
2018 Mercedes-Benz GLE 350 Base 4MATIC,2018,Mercedes-Benz,White,63690.0,Mercedes-Benz of Milwaukee North,(888) 224-9092,4.8,203.0,0.0,74,Designo Diamond White Metallic,Black,7-SPEED A/T,All Wheel Drive,4JGDA5HB6JB104365,339
2018 Mercedes-Benz AMG GLA 45 AMG GLA 45,2018,Mercedes-Benz,White,60480.0,Mercedes-Benz of Milwaukee North,(888) 224-9092,4.8,203.0,0.0,74,Cirrus White,Black,7-SPEED A/T,All Wheel Drive,WDDTG5CBXJJ433555,340
2006 Mercedes-Benz  C280 4MATIC,2006,Mercedes-Benz,Black,4995.0,Car Planet,(414) 292-9743,2.6,5.0,105280.0,74,Black,Black,5-Speed Automatic,AWD,WDBRF92H36F773000,341
2018 Mercedes-Benz AMG C 63 Base,2018,Mercedes-Benz,White,95260.0,Mercedes-Benz of Milwaukee North,(888) 224-9092,4.8,203.0,0.0,74,Designo Diamond White Metallic,Black,7-SPEED A/T,Rear Wheel Drive,WDDWK8HB7JF629591,342
2018 Mercedes-Benz GLC 300 Base 4Matic,2018,Mercedes-Benz,White,55335.0,Mercedes-Benz of Milwaukee North,(888) 224-9092,4.8,203.0,0.0,74,Designo Diamond White Metallic,Black,9-SPEED A/T,All Wheel Drive,WDC0G4KB7JV066237,343
2018 Mercedes-Benz  S 560,2018,Mercedes-Benz,Black,124805.0,Mercedes-Benz of Milwaukee North,(888) 224-9092,4.8,203.0,0.0,74,Obsidian Black Metallic,Black,9-SPEED A/T,All Wheel Drive,WDDUG8GB3JA386255,344
2018 Mercedes-Benz AMG GLE 43 Base 4MATIC,2018,Mercedes-Benz,White,79605.0,Mercedes-Benz of Milwaukee North,(888) 224-9092,4.8,203.0,0.0,74,Polar White,Black,9-SPEED A/T,All Wheel Drive,4JGED6EB9JA111287,345
2018 Mercedes-Benz  S 560,2018,Mercedes-Benz,Gray,109695.0,Mercedes-Benz of Milwaukee North,(888) 224-9092,4.8,203.0,0.0,74,Selenite Grey Metallic,brown,9-SPEED A/T,All Wheel Drive,WDDUG8GB6JA346770,346
2014 Mercedes-Benz  CLA250 4MATIC,2014,Mercedes-Benz,Red,18250.0,Racine Toyota,(855) 349-2538,4.7,394.0,57661.0,76,Patagonia Red,Black,7-Speed Auto-Shift Manual w/OD,AWD,WDDSJ4GB1EN124640,347
2014 Mercedes-Benz  C 300,2014,Mercedes-Benz,White,19990.0,Car Castle,(262) 456-5159,4.9,45.0,69339.0,76,Polar White,Black,7-SPEED A/T,All Wheel Drive,WDDGF8AB4ER307949,348
2011 Mercedes-Benz  S 400 Hybrid,2011,Mercedes-Benz,White,25995.0,Car Castle,(262) 456-5159,4.9,45.0,75360.0,76,Diamond White Metallic,Cashmere/Savanna,7-SPEED A/T,Rear Wheel Drive,WDDNG9FB9BA400852,349
2014 Mercedes-Benz  CLS550,2014,Mercedes-Benz,Silver,37230.0,VROOM (Milwaukee),(877) 682-3020,,,31896.0,73,Silver,Black,7-Speed Automatic w/OD,RWD,WDDLJ7DB3EA120204,350
2015 Mercedes-Benz  C300 4MATIC,2015,Mercedes-Benz,Gray,23730.0,VROOM (Milwaukee),(877) 682-3020,,,43302.0,73,Gray,Tan,7-Speed Automatic w/OD,AWD,55SWF4KB0FU017730,351
2012 Mercedes-Benz  AWD E 350 Luxury 4MATIC 4dr Sedan,2012,Mercedes-Benz,Silver,20730.0,VROOM (Milwaukee),(877) 682-3020,,,39353.0,73,Silver,Black,7-Speed Automatic,AWD,WDDHF8JB6CA627919,352
2014 Mercedes-Benz  E 350 Sport 4dr Sedan,2014,Mercedes-Benz,White,24480.0,VROOM (Milwaukee),(877) 682-3020,,,44022.0,73,White,Tan,7-Speed Automatic w/OD,RWD,WDDHF5KB7EA832035,353
2016 Mercedes-Benz  GLE 350,2016,Mercedes-Benz,Black,36980.0,VROOM (Milwaukee),(877) 682-3020,,,45657.0,73,Black,Black,7-Speed Automatic w/OD,RWD,4JGDA5JB3GA662344,354
2014 Mercedes-Benz  E 350,2014,Mercedes-Benz,Gray,26230.0,VROOM (Milwaukee),(877) 682-3020,,,50263.0,73,Gray,Gray,7-Speed Automatic w/OD,AWD,WDDKJ8JB4EF260545,355
2015 Mercedes-Benz  C250,2015,Mercedes-Benz,Red,21730.0,VROOM (Milwaukee),(877) 682-3020,,,35152.0,73,Red,Black,7-Speed Automatic w/OD,RWD,WDDGJ4HB3FG384404,356
2001 Mercedes-Benz  C320,2001,Mercedes-Benz,Black,5499.0,Car King,(414) 255-0262,3.2,39.0,93582.0,68,Black,Gray,5-SPEED A/T,Rear Wheel Drive,WDBRF64J91F077202,357
2018 Mercedes-Benz  C 300,2018,Mercedes-Benz,Silver,51060.0,Mercedes-Benz of Milwaukee North,(888) 224-9092,4.8,203.0,0.0,74,Iridium Silver Metallic,Black,9-SPEED A/T,All Wheel Drive,55SWF4KB9JU265127,358
2018 Mercedes-Benz GLC 300 Base 4Matic,2018,Mercedes-Benz,Black,50845.0,Mercedes-Benz of Milwaukee North,(888) 224-9092,4.8,203.0,0.0,74,Black,Black,9-SPEED A/T,All Wheel Drive,WDC0G4KB6JV073082,359
2018 Mercedes-Benz GLA 250 Base 4MATIC,2018,Mercedes-Benz,Gray,44720.0,Napleton Autowerks Loves Park,(815) 916-4212,4.9,522.0,0.0,55,Gray,,7-Speed Automatic with Auto-Shift,AWD,WDCTG4GB9JJ488569,360
2018 Mercedes-Benz AMG GLC 43 AMG GLC 43,2018,Mercedes-Benz,Black,69970.0,Mercedes-Benz of Milwaukee North,(888) 224-9092,4.8,203.0,0.0,74,Obsidian Black Metallic,brown,9-SPEED A/T,All Wheel Drive,WDC0J6EB0JF428640,361
2018 Mercedes-Benz GLS 450 Base 4MATIC,2018,Mercedes-Benz,Gray,74053.0,Mercedes-Benz of Elmbrook,(262) 510-2426,4.5,39.0,5143.0,61,Selenite Gray,Black,9-Speed Automatic,AWD,4JGDF6EE9JB021227,362
2018 Mercedes-Benz AMG GT Base,2018,Mercedes-Benz,Gray,138090.0,Mercedes-Benz of Elmbrook,(262) 510-0498,4.5,39.0,0.0,61,Selenite Gray Metallic,Red Pepper,7-Speed Automatic with Auto-Shift,RWD,WDDYK7HA0JA016641,363
2018 Mercedes-Benz  E 300,2018,Mercedes-Benz,Black,69320.0,Mercedes-Benz of Milwaukee North,(888) 224-9092,4.8,203.0,0.0,74,Obsidian Black Metallic,Black,9-SPEED A/T,All Wheel Drive,WDDZF4KBXJA320651,364
2018 Mercedes-Benz  S 560,2018,Mercedes-Benz,Black,125195.0,Mercedes-Benz of Milwaukee North,(888) 224-9092,4.8,203.0,0.0,74,Black,Black,9-SPEED A/T,All Wheel Drive,WDDUG8GB4JA398740,365
2018 Mercedes-Benz GLC 300 Base 4Matic,2018,Mercedes-Benz,Blue,53855.0,Mercedes-Benz of Milwaukee North,(888) 224-9092,4.8,203.0,0.0,74,Lunar Blue Metallic,beige,9-SPEED A/T,All Wheel Drive,WDC0G4KB7JV076203,366
2018 Mercedes-Benz AMG GLE 43 Base 4MATIC,2018,Mercedes-Benz,White,77080.0,Mercedes-Benz of Elmbrook,(262) 510-0498,4.5,39.0,0.0,61,Designo Diamond White Metallic,Black,9-Speed Automatic,AWD,4JGDA6EBXJB057092,367
2017 Mercedes-Benz GLE 350 Base 4MATIC,2017,Mercedes-Benz,Gray,71999.0,International Autos,(414) 203-5342,3.8,56.0,0.0,68,Selenite Gray Metallic,Black,7-Speed Automatic,AWD,4JGDA5HB8HA963537,368
2018 Mercedes-Benz AMG C 63 Base,2018,Mercedes-Benz,Black,84490.0,Mercedes-Benz of Milwaukee North,(888) 224-9092,4.8,203.0,0.0,74,Obsidian Black Metallic,Black,7-SPEED A/T,Rear Wheel Drive,WDDWK8GB4JF681603,370
2018 Mercedes-Benz GLE 350 Base 4MATIC,2018,Mercedes-Benz,Black,69030.0,Mercedes-Benz of Milwaukee North,(888) 224-9092,4.8,203.0,0.0,74,Obsidian Black Metallic,Black,7-SPEED A/T,All Wheel Drive,4JGDA5HB8JB037946,371
2018 Mercedes-Benz  E 300,2018,Mercedes-Benz,White,61095.0,Mercedes-Benz of Milwaukee North,(888) 224-9092,4.8,203.0,0.0,74,Polar White,beige,9-SPEED A/T,All Wheel Drive,WDDZF4KB0JA366232,372
2018 Mercedes-Benz  E 400 4MATIC,2018,Mercedes-Benz,White,82260.0,Mercedes-Benz of Elmbrook,(262) 510-0498,4.5,39.0,0.0,61,Designo Diamond White Metallic,Beige,9-Speed Automatic,AWD,WDD1K6GB3JF042191,373
2006 Mercedes-Benz  E 350 4MATIC,2006,Mercedes-Benz,Gray,8950.0,Kunes Country Chevrolet Cadillac of Delavan,(262) 586-4283,4.7,720.0,173702.0,49,Gray,,5-Speed Automatic,AWD,WDBUF87J86X188732,374
2018 Mercedes-Benz AMG GLE 43 Base 4MATIC,2018,Mercedes-Benz,Gray,80640.0,Mercedes-Benz of Milwaukee North,(888) 224-9092,4.8,203.0,0.0,74,Selenite Grey Metallic,Black,9-SPEED A/T,All Wheel Drive,4JGED6EB9JA109717,375
2018 Mercedes-Benz AMG GLC 43 AMG GLC 43,2018,Mercedes-Benz,Red,65670.0,Mercedes-Benz of Milwaukee North,(888) 224-9092,4.8,203.0,0.0,74,Designo Cardinal Red Metallic,brown,9-SPEED A/T,All Wheel Drive,WDC0J6EB8JF434038,376
